RoleID,RoleName,Description,KeyResponsibilities,RequiredSkills
1,Builder/Constructor,"Responsible for constructing and repairing buildings, structures, and interactive objects like homes, workspaces, and workbenches.","Build new structures;Repair and maintain existing buildings;Create interactive objects;Plan construction projects","Building/Construction;Crafting;Engineering Skill;Mechanics;Gathering"
2,Farmer/Agriculturalist,"Manages the cultivation of crops and raising of livestock to provide food resources for the community.","Plant, tend, and harvest crops;Raise and care for livestock;Manage agricultural resources;Implement sustainable farming practices","Farming;Animal Handling;Herbalism;Gathering"
3,Blacksmith/Weaponsmith,"Crafts weapons, tools, and metal items essential for the community's defense and daily tasks.","Forge weapons and armor;Repair metal equipment;Create tools;Manage the smithy","Blacksmithing;Forging;Engineering Skill;Crafting;Mining"
4,Healer/Medic,"Provides medical care to NPCs, treating injuries and illnesses to maintain community health.","Treat wounded or sick NPCs;Manage medical supplies;Educate on health practices;Develop new treatments","Medicine;Herbalism;Compassion;First Aid"
5,Guard/Security Officer,"Ensures the safety of the community by protecting it from external threats and maintaining internal order.","Patrol community borders;Monitor for threats;Enforce community rules;Respond to security breaches","Combat Skill;Perception;Strategy;Leadership"
6,Scout/Explorer,"Explores new areas, gathers intelligence, and identifies resources or threats.","Map unexplored regions;Report on threats or resources;Establish contact with other groups;Gather environmental data","Navigation;Stealth;Survival Skill;Perception"
7,Trader/Merchant,"Manages trade operations, acquiring goods and resources through barter or negotiation.","Trade with other communities;Manage trade goods;Negotiate deals;Identify market opportunities","Bartering;Persuasion;Navigation;Perception"
8,Teacher/Educator,"Imparts knowledge and skills to other NPCs, enhancing the community's overall capabilities.","Teach skills and knowledge;Develop educational programs;Mentor apprentices;Preserve cultural practices","Teaching;Knowledge of Subject Matter;Patience;Communication"
9,Engineer/Technician,"Maintains and improves technological systems within the community.","Repair and upgrade technology;Develop new solutions;Manage power and communication systems;Troubleshoot issues","Engineering Skill;Electronics;Technical Skill;Problem-Solving"
10,Researcher/Scientist,"Conducts research to advance the community's knowledge and technology.","Perform experiments;Document findings;Collaborate with experts;Explore new fields","Research Skill;Curiosity;Knowledge of History;Innovation"
11,Cook/Chef,"Prepares meals for the community, managing food supplies and ensuring nutritional needs are met.","Cook daily meals;Manage kitchen supplies;Create new recipes;Ensure food safety","Cooking;Food Preparation;Creativity;Time Management"
12,Hunter/Gatherer,"Sources food and materials from the environment through hunting and foraging.","Hunt wild animals;Gather edible plants;Supply resources;Monitor wildlife populations","Hunting;Foraging;Survival Skill;Stealth"
13,Miner/Resource Extractor,"Extracts minerals and resources from the earth for use in crafting and construction.","Mine for ores;Assess resource deposits;Ensure safe practices;Supply raw materials","Mining;Strength;Mechanics;Safety Awareness"
14,Diplomat/Envoy,"Represents the community in negotiations and relations with other groups.","Establish alliances;Negotiate treaties;Resolve conflicts;Gather intelligence","Diplomacy;Persuasion;Language;Emotional Intelligence"
15,Entertainer/Artist,"Enhances community morale through art, music, and performances.","Perform arts;Organize events;Teach artistic skills;Preserve cultural heritage","Creativity;Performance;Teaching;Emotional Intelligence"
16,Logistics Coordinator,"Manages the distribution of resources, supplies, and personnel within the community.","Oversee supply chains;Allocate resources;Coordinate transportation;Maintain inventory","Organization;Strategic Planning;Communication;Problem-Solving"
17,Herbalist/Alchemist,"Creates potions, remedies, and compounds using natural ingredients.","Collect herbs;Prepare remedies;Experiment with formulas;Supply healers","Herbalism;Alchemy;Medicine;Attention to Detail"
18,Animal Handler/Breeder,"Manages domesticated animals for labor, companionship, or products.","Care for animals;Breed animals;Train animals;Monitor health","Animal Handling;Patience;Observation;Breeding Knowledge"
19,Navigator/Cartographer,"Creates maps and guides for navigation, aiding exploration and travel.","Map new territories;Update maps;Guide expeditions;Teach navigation","Cartography;Navigation;Perception;Teaching"
20,Mechanic/Machinist,"Repairs and maintains mechanical equipment and vehicles.","Fix mechanical failures;Perform maintenance;Upgrade machinery;Keep repair records","Mechanics;Technical Skill;Problem-Solving;Attention to Detail"
21,Technologist/Innovator,"Develops new technologies and innovations to advance the community.","Research technologies;Prototype devices;Collaborate with experts;Implement solutions","Innovation;Technical Skill;Engineering Skill;Curiosity"
22,Archivist/Librarian,"Manages the community's records, documents, and knowledge repositories.","Organize documents;Facilitate access;Collect new knowledge;Protect sensitive data","Organization;Research Skill;Attention to Detail;Knowledge of History"
23,Councilor/Advisor,"Provides guidance to leaders on policy, strategy, and community welfare.","Advise on decisions;Represent concerns;Analyze outcomes;Mediate disputes","Wisdom;Emotional Intelligence;Communication;Strategy"
24,Cleaner/Maintenance Worker,"Keeps the community environment clean and functional.","Clean communal areas;Dispose of waste;Perform minor repairs;Maintain facilities","Organization;Attention to Detail;Mechanics;Endurance"
25,Fisher/Fisherman,"Harvests fish and seafood to provide food resources.","Catch fish;Maintain equipment;Process catches;Monitor aquatic environments","Fishing;Patience;Navigation;Survival Skill"
26,Medic/Mental Health Specialist,"Focuses on the psychological well-being of community members.","Provide counseling;Address mental health;Develop wellness programs;Educate on mental health","Psychology;Compassion;Emotional Intelligence;Communication"
27,Resource Manager,"Oversees the allocation and conservation of resources to ensure sustainability.","Track consumption;Plan for needs;Implement conservation;Coordinate distribution","Organization;Strategic Planning;Negotiation;Problem-Solving"
28,Law Enforcement/Peacekeeper,"Enforces community laws and maintains order among members.","Uphold regulations;Investigate violations;Resolve conflicts;Protect rights","Law Knowledge;Combat Skill;Emotional Intelligence;Integrity"
29,Spiritual Leader/Shaman,"Provides spiritual guidance and conducts rituals or ceremonies.","Lead spiritual practices;Offer guidance;Interpret signs;Preserve traditions","Mysticism;Wisdom;Empathy;Knowledge of History"
30,Communications Officer,"Manages communication systems and networks within and outside the community.","Operate devices;Maintain networks;Relay messages;Monitor communications","Technical Skill;Attention to Detail;Language;Problem-Solving"
